,0,1
891,55118,CRTAC1
892,91156,IGFN1
893,338761,C1QL4
894,150209,AIFM3
895,783,CACNB2
896,285601,GPR150
897,5414,SEPTIN4
898,3626,INHBC
899,9783,RIMS3
900,23284,ADGRL3
901,84867,PTPN5
902,2986,GUCY2F
903,256297,PTF1A
904,6407,SEMG2
905,23122,CLASP2
906,51195,RAPGEFL1
907,79966,SCD5
908,7547,ZIC3
909,114960,TSGA13
910,5621,PRNP
911,55248,PACC1
912,5764,PTN
913,9228,DLGAP2
914,134288,TMEM174
915,6656,SOX1
916,338557,FFAR4
917,4644,MYO5A
918,84929,FIBCD1
919,165215,FAM171B
920,387804,VSTM5
921,2259,FGF14
922,79957,PAQR6
923,2565,GABRG1
924,221002,RASGEF1A
925,3083,HGFAC
926,5864,RAB3A
927,50810,HDGFL3
928,375612,LHFPL3
929,5454,POU3F2
930,2138,EYA1
931,2905,GRIN2C
932,57596,BEGAIN
933,404217,CTXN1
934,23710,GABARAPL1
935,144448,TSPAN19
936,5020,OXT
937,9312,KCNB2
938,448834,KPRP
939,730130,TMEM229A
940,653641,GOLGA6C
941,2637,GBX2
942,57622,LRFN1
943,53919,SLCO1C1
944,53358,SHC3
945,139599,MAGEE2
946,4208,MEF2C
947,79006,METRN
948,57475,PLEKHH1
949,146177,VWA3A
950,84894,LINGO1
951,83873,GPR61
952,20,ABCA2
953,146330,FBXL16
954,51480,VCX2
955,79632,FAM184A
956,27133,KCNH5
957,4948,OCA2
958,7345,UCHL1
959,5276,SERPINI2
960,5502,PPP1R1A
961,127795,C1ORF87
962,283514,SIAH3
963,84722,PSRC1
964,199731,CADM4
965,89853,MVB12B
966,84891,ZSCAN10
967,627,BDNF
968,26059,ERC2
969,85416,ZIC5
970,1993,ELAVL2
971,30820,KCNIP1
972,440955,TMEM89
973,4435,CITED1
974,9672,SDC3
975,9805,SCRN1
976,220963,SLC16A9
977,80034,CSRNP3
978,222662,LHFPL5
979,134526,ACOT12
980,7478,WNT8A
981,338322,NLRP10
982,139081,MAGEC3
983,5581,PRKCE
984,375704,ENHO
985,56302,TRPV5
986,2898,GRIK2
987,152789,JAKMIP1
988,1795,DOCK3
989,1750,DLX6
990,339479,BRINP3
991,1852,DUSP9
992,4340,MOG
993,9762,LZTS3
994,25818,KLK5
995,83659,TEKT1
996,2020,EN2
997,23415,KCNH4
998,121278,TPH2
999,7976,FZD3
1000,55607,PPP1R9A
1001,84666,RETNLB
1002,152065,C3ORF22
1003,10501,SEMA6B
1004,140885,SIRPA
1005,254272,TBC1D28
1006,56097,PCDHGC5
1007,7301,TYRO3
1008,387890,TMEM233
1009,170302,ARX
1010,8237,USP11
1011,646658,SYNDIG1L
1012,2587,GALR1
1013,2561,GABRB2
1014,814,CAMK4
1015,5121,PCP4
1016,84152,PPP1R1B
1017,57613,FAM234B
1018,414899,BLID
1019,51286,CEND1
1020,342977,NANOS3
1021,116135,LRRC3B
1022,653247,PRB2
1023,4759,NEU2
1024,2779,GNAT1
1025,610,HCN2
1026,692094,MSMP
1027,78997,GDAP1L1
1028,57453,DSCAML1
1029,387597,ILDR2
1030,340529,PABPC1L2A
1031,7102,TSPAN7
1032,201191,SAMD14
1033,6706,SPRR2G
1034,1746,DLX2
1035,80164,PRR36
1036,777,CACNA1E
1037,5368,PNOC
1038,54331,GNG2
1039,26538,OR10H2
1040,27289,RND1
1041,84439,HHIPL1
1042,150677,OTOS
1043,205147,AMER3
1044,6704,SPRR2E
1045,56133,PCDHB2
1046,3827,KNG1
1047,4588,MUC6
1048,23531,MMD
1049,51298,THEG
1050,22866,CNKSR2
1051,9152,SLC6A5
1052,200407,CREG2
1053,146223,CMTM4
1054,1363,CPE
1055,5744,PTHLH
1056,3358,HTR2C
1057,2914,GRM4
1058,5799,PTPRN2
1059,23209,MLC1
1060,55805,LRP2BP
1061,254263,CNIH2
1062,145407,ARMH4
1063,4137,MAPT
1064,6913,TBX15
1065,114571,SLC22A9
1066,57540,DISP3
1067,590,BCHE
1068,11122,PTPRT
1069,3782,KCNN3
1070,138046,RALYL
1071,10675,CSPG5
1072,116931,MED12L
1073,6508,SLC4A3
1074,7200,TRH
1075,27092,CACNG4
1076,10479,SLC9A6
1077,339416,ANKRD45
1078,266722,HS6ST3
1079,260434,PYDC1
1080,7652,ZNF99
1081,92235,DUSP27
1082,266812,NAP1L5
1083,100287482,SMKR1
1084,414157,C10ORF62
1085,27132,CPNE7
1086,2572,GAD2
1087,29118,DDX25
1088,5992,RFX4
1089,143425,SYT9
1090,284069,FAM171A2
1091,57446,NDRG3
1092,6000,RGS7
1093,4294,MAP3K10
1094,3992,FADS1
1095,65009,NDRG4
1096,10178,TENM1
1097,339983,NAT8L
1098,55753,OGDHL
1099,400073,C12ORF76
1100,2850,GPR27
1101,6299,SALL1
1102,2840,GPR17
1103,116442,RAB39B
1104,30812,SOX8
1105,24150,TP53TG3
1106,5078,PAX4
1107,10098,TSPAN5
1108,23114,NFASC
1109,114787,GPRIN1
1110,22859,ADGRL1
1111,885,CCK
1112,51760,SYT17
1113,353149,TBC1D26
1114,340419,RSPO2
1115,23462,HEY1
