,GeneID,Symbol,Synonyms
401,639,PRDM1,BLIMP1|PRDI-BF1
402,641,BLM,BS|MGRISCE1|RECQ2|RECQL2|RECQL3
403,642,BLMH,BH|BMH
404,643,CXCR5,BLR1|CD185|MDR15
405,644,BLVRA,BLVR|BVR|BVRA
406,645,BLVRB,BVRB|FLR|HEL-S-10|SDR43U1
407,648,BMI1,FLVI2/BMI1|PCGF4|RNF51|flvi-2/bmi-1
408,649,BMP1,OI13|PCOLC|PCP|PCP2|TLD
409,650,BMP2,BDA2|BMP2A|SSFSC
410,651,BMP3,BMP-3A
411,652,BMP4,BMP2B|BMP2B1|MCOPS6|OFC11|ZYME
412,653,BMP5,-
413,654,BMP6,VGR|VGR1
414,655,BMP7,OP-1
415,656,BMP8B,BMP8|OP2
416,657,BMPR1A,10q23del|ACVRLK3|ALK3|CD292|SKR5
417,658,BMPR1B,ALK-6|ALK6|AMDD|BDA1D|BDA2|CDw293
418,659,BMPR2,BMPR-II|BMPR3|BMR2|BRK-3|POVD1|PPH1|T-ALK
419,661,POLR3D,BN51T|RPC4|RPC53|TSBN51
420,662,BNIP1,NIP1|SEC20|TRG-8
421,663,BNIP2,BNIP-2|NIP2
422,664,BNIP3,NIP3
423,665,BNIP3L,BNIP3a|NIX
424,666,BOK,BCL2L9|BOKL
425,667,DST,BP240|BPA|BPAG1|CATX-15|CATX15|D6S1101|DMH|DT|EBSB2|HSAN6|MACF2
426,668,FOXL2,BPES|BPES1|PFRK|PINTO|POF3
427,669,BPGM,DPGM|ECYT8
428,670,BPHL,BPH-RP|MCNAA|VACVASE
429,672,BRCA1,BRCAI|BRCC1|BROVCA1|FANCS|IRIS|PNCA4|PPP1R53|PSCP|RNF53
430,673,BRAF,B-RAF1|B-raf|BRAF1|NS7|RAFB1
431,677,ZFP36L1,BRF1|Berg36|ERF-1|ERF1|RNF162B|TIS11B|cMG1
432,678,ZFP36L2,BRF2|ERF-2|ERF2|RNF162C|TIS11D
433,680,BRS3,BB3|BB3R|BBR3
434,682,BSG,5F7|CD147|EMMPRIN|EMPRIN|OK|SLC7A11|TCSF
435,683,BST1,CD157
436,684,BST2,CD317|TETHERIN
437,685,BTC,-
438,686,BTD,-
439,687,KLF9,BTEB|BTEB1
440,688,KLF5,BTEB2|CKLF|IKLF
441,689,BTF3,BETA-NAC|BTF3a|BTF3b|NACB
442,690,BTF3P11,BTF3L1|HUMBTFB|OCIF|OPG|TNFRSF11B
443,694,BTG1,APRO2
444,701,BUB1B,BUB1beta|BUBR1|Bub1A|MAD3L|MVA1|SSK1|hBUBR1
445,705,BYSL,BYSTIN|Enp1
446,706,TSPO,BPBS|BZRP|DBI|IBP|MBR|PBR|PBS|PKBS|PTBR|mDRC|pk18
447,708,C1QBP,COXPD33|GC1QBP|HABP1|SF2AP32|SF2p32|gC1Q-R|gC1qR|p32
448,710,SERPING1,C1IN|C1INH|C1NH|HAE1|HAE2
449,711,ERC2-IT1,C1orf1|C3orf51|Po42
450,712,C1QA,-
451,713,C1QB,-
452,714,C1QC,C1Q-C|C1QG
453,715,C1R,EDSPD1
454,716,C1S,EDSPD2
455,717,C2,ARMD14|CO2
456,718,C3,AHUS5|ARMD9|ASP|C3a|C3b|CPAMD1|HEL-S-62p
457,719,C3AR1,AZ3B|C3AR|HNFAG09
458,720,C4A,C4|C4A2|C4A3|C4A4|C4A6|C4AD|C4S|CO4|CPAMD2|RG
459,722,C4BPA,C4BP|PRP
460,725,C4BPB,C4BP
461,726,CAPN5,ADNIV|HTRA3|VRNI|nCL-3
462,727,C5,C5D|C5a|C5b|CPAMD4|ECLZB
463,728,C5AR1,C5A|C5AR|C5R1|CD88
464,730,C7,-
465,733,C8G,C8C
466,734,OSGIN2,C8orf1|hT41
467,740,MRPL49,C11orf4|L49mt|MRP-L49|NOF|NOF1
468,741,ZNHIT2,C11orf5|FON
469,744,MPPED2,239FB|C11orf8
470,745,MYRF,11orf9|C11orf9|CUGS|MMERV|MRF|Ndt80|pqn-47
471,746,TMEM258,C11orf10|Kud|Kuduk
472,747,DAGLA,C11orf11|DAGL(ALPHA)|DAGLALPHA|NSDDR
473,750,GAS8-AS1,C16orf3
474,752,FMNL1,C17orf1|C17orf1B|FHOD4|FMNL|KW-13
475,753,LDLRAD4,C18orf1
476,754,PTTG1IP,C21orf1|C21orf3|PBF
477,755,CFAP410,C21orf2|LRRC76|RDMS|SMDAX|YF5/A2
478,757,TMEM50B,C21orf4|HCVP7TP3
